[107,0] [58,1] [18,2] [100,1] [61,0] 
[29,2] [106,0] [97,0] [130,0] [73,3] 
[75,3] [69,3] [95,0] [35,2] [105,0] 
[102,3] [82,0] [15,1] [136,2] [50,0] 
[09,1] [26,3] [110,3] [10,3] [68,0] 
[20,0] [75,3] [115,1] [21,0] [07,0] 
[101,1] [01,0] [02,0] [133,1] [25,1] 
[95,0] [70,0] [09,3] [05,3] [00,3] 
[30,1] [30,2] [68,1] [107,1] [31,0] 
[82,3] [11,3] [88,0] [16,1] [5,0] 
[28,0] [50,3] [38,3] [120,0] [00,0] 
[06,3] [90,0] [55,3] [05,2] [17,0] 
[110,0] [71,2] [68,2] [17,2] [103,0] 
[17,0] [80,1] [86,0] [56,0] [06,2] 
[81,2] [92,0] [66,3] [100,2] [57,3] 
[06,1] [110,3] [115,1] [127,0] [85,1] 
[59,0] [93,1] [129,1] [120,1] [00,2] 
[03,3] [28,3] [125,0] [5,2] [69,0] 
[7,1] [127,1] [92,2] [110,1] [80,2] 
[00,1] [32,3] [85,0] [06,1] [36,2] 
